index,title,simpletags,deepertags,degree
10,bachelor of technology mechanical and automation engineering,bachelor technology mechanical automation engineering,Applied Mathematics Physics Chemistry Manufacturing Process Computers Auto CAD Impact Science Technology Society Office Automation Web Design Mechanics Electronics Thermal Science Mechanics Solids Production Technology Kinematics Dynamics Machines Heat Transfer Manufacturing Machines Electrical Machines Operation Research KOM DOM Microprocessors Applications Machine Design Material Science Metallurgy Measurements Controls Management Manufacturing System Metrology Fluid Systems Computer Aided Refrigeration Air Conditioning Solar Energy Personnel Management Metal Forming Automotive Manufacturing Information Systems Quality Control Quality Assurance Optimization Techniques Mechanical Vibrations I.C.  Engines Emissions Pollution Control Gear Technology Financial Management Reliability Maintenance Power Plant Finite Element Methods Robotics Computer Aided Design Mechatronics Metal Cutting Tool Design Database Management Systems LAN Networking Mechanics Fluids Electrical Science Graphics ,bachelor of technology
11,"bachelor of technology electrical, electronics and communications engineering ",bachelor technology electrical electronics communications engineering,"electronic devices circuits control signals networks computers communications electromagnetics microelectronics microwaves communication computers digital signal processing Mathematics Sciences Humanities Management laboratory microelectronics VLSI engineering visual information processing embedded systems telecommunication systems engineering RF microwave engineering Fibre Optics light-wave industrial training Mathematics Applied Physics Manufacturing Processes	Electronic Devices Electrical Technology Computing Mechanics Analog Electronics Switching Theory Logic Design Network Analysis Synthesis Electronic Instruments Measurements Communication Systems
Data Structures	Electromagnetic Field Theory Signals Systems Computer Organization Architecture Microwave Engineering Digital Communication Information Theory Coding Microprocessors Microcontrollers Digital Signal Processing Control Systems VLSI Design Digital System Design Data Communication Networks Industrial Management Antenna Wave Propagation Embedded Systems Satellite Communication Wireless Communication Ad Hoc Sensor Networks Electronic Devices Circuits Microelectronics Circuit Analysis Digital Signal Processing Signals Systems VLSI Digital Electronics Linear Integrated Circuits Antenna Wave Propagation Wireless Communication Wireless Network Ad Hoc Networks Radio Frequency Microwave",bachelor of technology
12,"bachelor of technology mechatronics, robotics, and automation engineering",bachelor technology mechatronics robotics automation engineering,"Mechanics Solids
Kinematics Machines Primary Production Processes Engineering Thermodynamics Fluid Mechanics Design Machine Dynamics Machinery System Dynamics Control Metal Machining Automation Metal Cutting Tool Design Metrology Quality Control Reliability Heat Transfer Internal Combustion Engines Gas Turbines Fluid Dynamics Hydraulic Machines Power Plant Mechanical Vibration Mechatronics Robotics Computer Aided Design Graphics Production Operations Management Decision Modeling Refrigeration Air Conditioning Vibration Analysis Diagnostics Analysis Synthesis Mechanisms Non Traditional Parameter Design Control System Advanced Composites Finite Element Analysis Rotor Dynamics	Stress Analysis Tribology Composite Materials Fatigue Fracture Robotics Intelligent System Control Materials Tribological Intelligent Industrial Automation Mechatronics Autonomous Mobile Robots Elasticity Plasticity Machine Tool Production Technology Modern Manufacturing Processes Metal Cutting Tool Optimization Engineering Design Neural Network Artificial Intelligence Production System Computer Integrated Manufacturing	 Planning Control Micro Machining Precision Production Management Quality Engineering Reliability Reliability Analysis Advanced IC Engine Technology Machine Drawing Solid Modelling Solids Manufacturing Practice Production Engineering Product Development Fluid Mechanics Fluid Machinery Ineternal Combustion Engines Mechanical System Design Mechatronics Robotics Industrial Computational Fluid Dynamics Thermal Engineering Heat Transfer Refrigeration Soft Computing Fem Tribology Sensors Mechanical Automation Vibration Machine Dynamics Cad Robotics Mechatronics Pneumatic Hydraulic Mobile Robotics System Simulation Computational Machining Forming Non Conventional Precession ",bachelor of technology
13,bachelor of engineering automotive engineering,bachelor engineering automotive,Engineering Mechanics Thermodynamics  Materials Manufacturing Processes Mechanics Solids Fluids Automotive Electricals Chassis Electronics Machine Drawing Automotive Transmission Systems Engines Fuels Combustion Cells Safety Systems Design Failure Mode Effects Analysis CAD CAM Machining Processes Metrology Turbo Aerodynamics Vehicle Body Two Three Wheeler Vehicle Inspection Maintenance Instrumentation Vehicle Diagnostics Control Systems Braking Systems Suspension Steering Applied Hydraulics Off Road Vehicles Dynamics Chassis Components HVAC Noise Vibration Harshness Computational Fluid Fluid Mechanics Machinery Manufacturing Methods Strength Materials Engineering Thermodynamics Heat Transfer Combustion Automotive Petrol Engines Engineering Analysis Numerical Methods Automotive Design Engines Material Science Technology Power Units Transmission Vehicle Body Pollution Control Quality Control Reliability Transport Management Modern Vehicle Technology Robotics Robot Application Off-road Vehicles Non-destructive Testing Methods Fuels Energy Systems,bachelor of engineering
14,Automotive Engineer,bachelor bachelors bachelor's master masters master's technology automotive mechanical computer science electrical electronics production manufacturing engineering automotive design electronics power electrical mechanical automation communications mechatronics robotics automobile,Preparing design specifications Researching developing producing new vehicles components vehicle subsystems Using computerized models determine behavior efficiency vehicle Investigating product failure Preparing cost estimates current new vehicles Assessing safety environmental components automotive project Creating plans drawings vehicle products fluid mechanics aerodynamics control systems energy environmental safety AutoCAD electrical components circuits car software car bodies mechanical electrical hydraulic thermodynamic pneumatic principles automotive engineers engineering mechanical failures building prototypes components test performance regulations JIRA Trello Microsoft Project ThinkDesign Engineering Gamma Technologies GT-SUITE Corel Sketch Pad MATLAB CAM PLM,profile
15,bachelor of engineering biomedical/medical engineering,bachelor engineering medical engineering biomedical,Hospital Safety Management Biomedical processing Technology Biomedical Signal Processing Embedded Systems Instrumentation Medical Diagnostic Therapeutic Equipment Biomechanics Biomedical Expert System Microprocessor Radiological Equipment Principles Statistical Methods Electronics Circuits Biofluids Dynamics Human Physiology Anatomy Material Sciences Thermodynamics Biotelemetry radiological Biomaterials Biofluids Analytical Optical Instrumentation Medical Sensors Measurement Techniques Diagnostic Medical Instrumentation Imaging biocompatibility bioactivity biodegradable materials implants medical devices drug delivery carriers scaffolds tissue medical images X-Ray Ultrasound CT MRI PET FMRI SPECT Hard Tissues Soft Tissues Biofluid mechanics Kinetics Muscles Joints organ systems Homeostasis organ systems musculoskeletal respiratory circulatory excretory endocrine nervous gastrointestinal reproductive resistive capacitive inductive piezoelectric Hall effect electro chemical optical Sensor signal conditioning circuits LASER sensing therapy biopotentials ECG EEG EMG ERG EOG GSR PCG,bachelor of engineering
16,Biomedical Engineer,science engineering bachelor bachelors bachelor's master masters master's medical biomedical technology instrumentation,designing testing implementing medical procedures computer-aided surgery tissue engineering designing developing testing modifying products equipment devices liaising medical engineering scientific staff maintaining equipment writing reports documentation Design biomedical equipment devices artificial internal organs replacements body parts machines diagnosing medical problems Install adjust maintain repair provide technical support biomedical equipment Evaluate safety efficiency equipment Research engineering biological systems humans animals life scientists chemists medical scientists Prepare procedures technical reports publish research papers Biomedical engineers design instruments devices software healthcare develop procedures development quality assurance electrical circuits software medical equipment computer simulations drug therapies body parts hip knee joints rehabilitative exercise equipment computer software three-dimensional x-ray machines develop drug therapies build models understand signals transmitted brain heart Bio-instrumentation electronics computer science instruments diagnosis treatment Regulatory,profile
17,bachelor of engineering chemical engineering,bachelor engineering chemical ,"Chemical engineers chemical processes products molecular modeling functional materials process product development cost quality optimization computer aided process design control intervention processes machine learning transfer operations reaction efficient management resource fabrication design process plants petroleum refining  petrochemicals synthetic fibers speciality chemicals food pharmaceuticals energy harvesting-conversion-storage prevention control environmental pollution AI sensors distributed control systems microfluidics biosystems numerical optimization material science Transport processes Multiphase multiscale Structured Fluids Reaction Engineering Separation Technology Materials Interfacial Science Modeling Simulation Chemical Processes Clean Technology Biofuel Petroleum Petrochemicals Immersion Chemical Thermodynamics Fluid Mechanics Mathematics Heat Transfer Mechanical Operations Laboratory Chemical Technology Instrumental Methods Analysis Membrane Separation Technology Mechanical Operations Energy Balance Thermodynamics Chemical Engineering Instrumentation Fluid Mechanics Chemical Technology Optimization Techniques Process Dynamics Control Diffusional Mass Transfer Operations	 Materials Technology Statics Strength Materials Equilibrium Staged Operations Elective	Process Dynamics Control Probability Statistics Numerical Methods Mass Transfer Process Control Strength Materials Laboratory Mass Transfer Chemical Reaction Process Equipment Design Drawing Physics Materials Chemistry Physics Computer Aided Engineering Drawing Computer Programming CAD ",bachelor of engineering
18,Chemical Engineer,Bachelor bachelor's chemical engineering Master’s bachelors master masters Science technology,Perform chemical analysis physical property testing materials products Research design develop production processes Coordinate perform tests Analyze data develop conclusions Communicate results analysis research Evaluate current processes develop improvements safety quality efficiency Create standards specifications processes facilities products tests Assist timelines budgets Install maintain inspect equipment facilities Perform routine calibration troubleshooting instruments Provide training mentorship technical staff Knowledge Batch Chemical Manufacturing process product technology engineering principles batch operations understanding knowledge unit operations filtration particle size reduction purification mixing operations Root Cause Failure Analysis RCFA methodology Process Safety Management Lean manufacturing principles Analytical diagnostic skills Project management skills manufacturing environment Scientific mathematical engineering processes creating SOP`s insulated products valves pipes strainers pipelines Understanding products requirements specifications targeted performance chemicals insulation Observing production processes conducting research  increase efficiency quality project needs design test improve processes equipment facilities Conduct develop manufacturing processes Develop liquids gases electrical currents controlled chemical processes Estimate production management ,profile
19,bachelor of technology civil engineering,bachelor technology engineering civil engineering,"Structural Analysis Mechanics Materials	Transportation Hydraulic Environmental Surveying Life Sciences	Basic Steel Design Geotechnical Construction Project Management Water Resources RC Design Hydraulic Construction Material Science and Engineering Bioscience Construction Materials Hydraulics Design Reinforced Concrete Structures Soil Mechanics Water Resources Steel Structures Foundation Water Wastewater Engineering Drawing Estimation Detailing CAD Air Pollution Solid Waste Management Rock Mechanics Tunnelling Maintenance Rehabilitation Concrete Structures Computational Hydraulics Hydrologic Analysis Design Hydropower Bridge Prestressed Concrete Earthquake Environmental Impact Assessment Sustainable Water Sanitation System Management Industrial Pollution Prevention Advanced Foundation Engineering Earth Retaining Structures Remote Sensing GIS River Water Resources Systems Transportation Planning Pavement Design Traffic civil engineer planning analysis design construction maintenance facilities buildings highways railways airports waterways canals dams power houses water treatment waste water disposal systems environmental quality control docks harbours bridges tunnels critical problems disaster mitigation management constructing offshore structures oil production flood forecasting flood control traffic congestion transportation planning non-conventional energy resources wind tides waves Computer Aided Design CAD software development",bachelor of technology
20,Civil Engineer,civil engineering bachelor bachelors bachelor's master masters master's technology,AutoCAD Civil 3D civil design components roadways sewers water mains storm water management systems site subdivision layout hydrologic hydraulic calculations grading cost estimating erosion sedimentation structural engineering analysis design tasks steel concrete bridge masonry wood structures site investigations design calculations drawings specifications architects ,profile
21,bachelor of engineering computer science,bachelor engineering science computer ,"Computational mathematics Communication skill Operating systems Systems programming Computer organization Digital logic Microprocessor microcontroller Compiler design Computer networks Computer architecture Optimization techniques Design analysis algorithms Object oriented system Database management systems Software engineering Business process logic Digital signal processing VLSI Industrial management Soft computing Multimedia Economics Internet Artificial intelligence Applied Mathematics Computer Graphics Compiler Design Database Management Systems Object Oriented Programming Data Structure Algorithm	 Electrical Technology Computer Organisation Architecture Java Programming Computer Network Artificial Intelligence Digital Communication	Microprocessor Microcontroller Software Quality Assurance Web Information Security Wireless Communication Mobile Computing Machine Learning Industrial Management Algorithm Design Analysis computing devices application systems engineering design developing computational solutions problems science engineering theory hardware software systems application algorithms computer software computer hardware artificial intelligence cryptography ",bachelor of engineering
22,bachelor of technology electronics and telecommunication engineering,bachelor technology electronics telecommunication engineering,LabVIEW Microcontrollers Computer aided Design Software VLSI Designing Modelling Softwares Communication Module Simulator MATLAB Networking Graphics Environmental Engineering Mechanics Civil Telecommunication Mechanical Computer Programming Engineering Graphics Telecommunications Software Electronic Devices Circuits Microprocessors Digital Electronics Signals Systems Electronic Measurement Instrumentation Electronic Devices Circuits Network Analysis Analog Communication Electronic Drives Control Systems Digital ELectronics Microprocessor Instrumentation Control Systems Digital Signal Processing Antenna Theory Electromagnetic Fields Digital Systems Design Integrated circuits Control Microcontrollers Analog IC Control Microcontrollers Systems Design Communication Elective Communication Principles Image Processing Optical Communication Microwave Theory ,bachelor of technology
23,bachelor of science mathematics and computer science,bachelor science mathematics computer science,"Algebra Numerical Methods Computer Fundamentals PC Software Calculus Graph Theory Groups Internet Programming Java Linear Algebra Boolean Linear Programming Operations Research C C++ Real Complex Analysis Trigonometry Analytical Geometry 3D Vector Java DESIGN ALGORITHMS SOFT COMPUTING CLOUD COMPUTING COMPUTER ARCHITECTURE UML USER EXPERIENCE DESIGN UX VERILOG FPGA DESIGN NON CONVENTIONAL ENERGY SOURCES POWER ELECTRONICS NANO ELECTRONICS DATA cOMMUNICATION NETWORKING COMPLEX ANALYSIS MECHANICS DISCRETE MATHEMATICS NUMBER THEORY FINANCIAL COMPLEX ANALYSIS PYTHON MECHANICS PYTHON DISCRETE MATHEMATICS PYTHON NUMBER THEORY FINANCIAL MATHEMATICS EXCEL DATA ANALYTICS INTERNET THINGS DIGITAL IMAGE PROCESSING BUSINESS INTELLIGENCE UNIX OPERATING SYSTEM MOBILE APPLICATIONS	GRAPHICS .NET INTERNET THINGS EMBEDDED SYSTEMS IOT oPTO ELECTRONIC DEVICES INSTRUMENTATION DIGITAL SIGNALS SYSTEM ARCHITECTURE EMBEDDED SYSTEMS IOT OPTO ELECTRONIC DEVICES INTEGRAL TRANSFORMS MATHEMATICAL MODELLING GRAPH THEORY CALCULUS VARIABLES OPERATIONS RESEARCH LINEAR ALGEBRA PYTHON INTEGRAL TRANSFORMS GRAPH THEORY NETWORKS JAVA PROGRAMMING MICROPROCESSOR MICROCONTROLLER DATA STRUCTURES OPERATING SYSTEMS C DIGITAL COMPUTER NETWORK ANALYSIS ANALOG ELECTRONICS ",bachelor of science
24,bachelor of engineering information technology,bachelor engineering technology information,Mathematics Environment Physics Engineering Data Structures C Electrical Science Chemistry Mechanical Engineering Graphics Mechanics Graphics Analog Electronics Discrete Mathematics Database Management Systems Communication Systems Operating Systems Computer Graphics Object Oriented Programming C++ Management Information System Digital Electronics UNIX Programming Software Engineering Microprocessor VHDL Computer Architecture E Commerce ERP Data Computer Networks Networking Java VHDL System Programming Software Engineering Microprocessor Artificial Intelligence Digital Image Processing ASP.Net Information Storage Management Project Management Advance DBMS Comprehension Operational Research Network Operating System Mobile Computing Linux Administration Information Security Software Testing Quality Assurance Grid Computing Real time systems ,bachelor of engineering
25,Computer Engineer,Bachelor’s bachelor Computer Engineering Computer Science information technology science computer science masters master's electronics robotics automation electrical mechanical communication communications telecommunication robotics mechatronics mathematics science applications application,Engineers Designers Developers Project Managers Researching technologies programming solutions build software and hardware Writing creating Troubleshooting database anomalies problems inefficiencies data loss Compiling technical support queries bug fixes software hardware open-source frameworks Spring Boot Django Angular React database technologies relational NoSQL distributed Java Python Go JavaScript mobile application development UNIX Linux environments distributed systems information migration networking systems systems security development shell scripting SKILL Python C C++ JAVA Visual Basic Perl Lisp Agile methodologies frameworks cloud technologies microservice Software Development cloud-native services applications AWS GCP Azure AWS big data technologies Redshift S3 EMR PySpark AWS primitives Lambda API Gateway Redshift AWS Glue SageMaker software engineering development lifecycle including agile methodologies coding standards code reviews source management build processes testing operations data modeling data engineering strategy,profile
26,bachelor of technology electrical engineering,bachelor technology engineering electrical,"Electrical Science Engineering device development integration information processing power control instrumentation communication signal processing Matrix Differential Equations Physics Chemistry Electrical Electronics Engineering Mechanics Thermodynamics Thermodynamics Computer Programming Object Oriented Drawing Integral Transforms Complex Analysis Statistics Digital Systems Electrical Machines Electric Circuits Measurements Instrumentation Mechanical electromagnetic Science Electric Circuits Measurements Digital Circuits Simulation Electrical Machines Microcontrollers Applications VLSI Design Microprocessors	Transmission Lines Radiating Systems Electronic Circuits Digital Communication Analog Communication Control Engineering Environmental Studies Digital Communication Microcontroller Power System Protection Switchgear Environmental Studies Electrical Drives Control Management Power System Simulation Power Electronics ANTENNA ANALYSIS MOBILE COMMUNICATIONS NEURAL SYSTEMS NETWORKS DIGITAL MOBILE RADIO SYSTEMS COMPUTER VISION DOCUMENT PROCESSING ELECTRIC DRIVES MODELING CONVERTERS MAGNETIC FIELDS MICROWAVE CIRCUITS PHOTONIC SWITCHING COMPUTATIONAL HVDC TRANSMISSION FLEXIBLE AC TRANSMISSION CRYPTOGRAPHY CODING SATELLITE COMMUNICATION CDMA CELLULAR INTEGRATED CIRCUIT SEMICONDUCTOR HIGH FREQUENCY FIBER OPTIC IMAGE TRANSDUCERS RADIO ASTRONOMY RADAR POWER GENERATION OPTO ELECTRONICS FLUID MECHANICS RATE EARTH SCIENCE",bachelor of technology
27,Data Engineer,bachelor bachelor's bachelors master masters master's computer science science analytics engineering technology information technology electronics electrical mechanical science mechanical communications electronics electrical chemical communication,Python Java backend development data systems data pipelines Airflow Looker scale Airflow data pipelines Data Engineering libraries built-in features Pandas pyspark SQL data warehouse AWS Athena AWS S3 AWS Redshift Batch processing AWS Batch AWS Glue advanced data transformations batch streaming ETL systems data sources models Build scale data warehouse systems data governance HITRUST compliant security automated deployment schema DevOps deployment operational database development advanced monitoring query optimizations architecture improvements create indexes stored procedures Develop data integrity analysis data processes identifying designing implementing internal data process architecture high-performance ETL software modular process structured JSON unstructured data integrating data SQL relational non-relational Python Scala Java UNIX LINUX command line AWS big data massively parallel processing MPP distributed computing principles predictive analytics data mining machine learning continuous integration practice build automation testing Git Jenkins Maven,profile
28,bachelor of engineering industrial and product design,bachelor engineering industrial product design,Information Collection Analysis Product Engineering Drawing Elements Design Media Investigation Communication product interface design Bio Engineering Value Engineering Applied numerical techniques Reliability Product Design Development TQM Industrial Safety Manufacturing Information System Casting Method Supply chain management Drawing Lean Startup Management Problem Solving Programming Design Workshop Environmental Sciences Design Fundamentals 2D Mathematics Designers Image Representation Techniques Physics Designers Design Studio Problem Identification Chemistry Designers Ergonomics Electronics Industrial Design Image Representation Design History Design Fundamentals 3D Society Studio Problem Analysis Smart Materials Processes Metals Computer Modelling Simulation Techniques Materials Processes Non metals Graphic Design Creative Explorations Techniques Advanced Form Studies Product Detailing Mechanisms Development Collaborative Design Project Smart Product Design Redesign Project Mobility Design Thinking Bio Inspired Advanced Computer Modelling Simulation Techniques Product Planning Strategy Design Management Exhibition Design Game Design Product Semiotics system Design Project ,bachelor of engineering
29,bachelor of engineering production engineering,bachelor engineering production,"SIGNALS, SYSTEMS AND NETWORKS CIRCUITS & NETWORK ELECTROMAGNETIC FIELD ELECTRICAL ELECTRONIC MEASUREMENTS POWER SYSTEMS CONTROL SYSTEMS Mechanics Solids Fluids Corporate Communication Financial Management Refrigeration Air Conditioning Manufacturing Costs Analysis Total Quality Management Integrated Materials Management Lean Manufacturing Product Development Strategies Manufacture Polymer Composites Mechatronics Plant Engineering Artificial Intelligence Expert Systems Entrepreneurship Development Project Management Value Engineering Industrial Robotics Manufacturing composite Materials Automobile Engineering Agile Manufacturing Operations Management Supply Chain Management Finite Element Rapid prototyping manufacture Machine Tool Technology Design Experiments Sustainable Manufacturing Material Handling Storage MEMS Nanotechnology Industrial Economics Manufacturing Planning Control Work Design Facilities Planning Manufacturing System Simulation Fluid Power Control Mechatronics Production Tooling Automation CIM Fluid Power Control mechatronics Manufacturing System Colloquium Computer aided Drafting Cost Estimation Resource Management computer Graphics CAD Design Manufacture Reliability Safety Engineering Machines Applied Statistics Dynamics Machines Non Traditional Manufacturing Processes Metrology Quality Thermal Machine Drawing Thermal Electrical Control Systems Engineering Fluid Mechanics Machinery Kinematics Machines Metal Forming Metal Joining Processes Fourier Series Partial Differential Equations Strength Materials Electronics Metallurgy Materials Casting Technology Machining ",bachelor of engineering
30,Electrical Engineer,bachelor bachelors electrical engineering technology electronics mechanical electronics civil communication communications industrial product design mechatronics robotics telecommunication bachelor's master masters master's automation production ,Schematic design simulation analog circuits power distribution telemetry monitoring motor control digital circuits microprocessor microcontrollers FPGA SoC memory devices digital transceivers Circuit Analyses worst-case circuit analysis failure modes effects reliability availability rudimentary thermal analysis Layout PCBs outsourced PCB layout Electrical test circuits PCB Design high-speed signal power integrity analysis Electronic Test Equipment Design develop electrical components circuit electrical system bench testing structured tests validate designs Embedded code development Testing automation coding R&D design controls risk management Quality Management System ,profile
31,bachelor of technology civil engineering,bachelor technology engineering civil,civil engineer planning analysis design construction maintenance facilities buildings highways railways airports waterways canals dams power houses water treatment waste water disposal systems environmental quality control docks harbours bridges tunnels critical problems disaster mitigation management constructing offshore structures oil production flood forecasting flood control traffic congestion transportation planning non-conventional energy resources wind tides waves Computer Aided Design CAD software development,bachelor of technology
32,bachelor of technology environmental technology,bachelor technology environmental,Fluid Mechanics Environmental Microbiology Environmental Process Technology Water Supply Treatment Air Pollution Control Solid Waste Management Geoinformatics Manufacturing Process Computers Auto CAD Environmental Studies Programming Mechanics Electrical Science C Programming Instrumental Analysis Environmental Science Microbiology Mechanics Solids Water Electronics Electrical Pollution measurements Environmental Science Biochemistry Solid Waste Management Computer Graphics Multimedia Earth Science GIS Natural Pollution Drilling Personnel ROV Marine Mammal Reservoir Technical Seismic Acquisition Environmental Air Quality Water Quality Pollution Control Environmental Designer Planner Solid Waste Sanitary Hydrological,bachelor of technology
