index,title,simpletags,deepertags
54,Software Engineer,Certified Secure Software Lifecycle Professional CSSLP Certified Software Development Professional CSDP Information Systems Core ICCP Software Engineering ICCP Object-Oriented Analysis Design ICCP Database Design Specialist CIW JavaScript Specialist CIWC Programming Language Certified Associate CLA C++ Certified Professional Programmer CPP C Certified Professional Programmer CLP C++ Certified Associate Programmer CPA,analyse user requirements write test code refining rewriting research design write software programs business applications computer games computer operating systems hardware develop analysing identifying integrate existing software products platforms work together create technical specifications write systems scheduling software graphic artists UX designers developers systems analysts Analyzing information General programming skills Software design Software debugging Software documentation Software testing Software development fundamentals Software development process Software requirements Hadoop Hive Pig Oozie Map Reduce Spark Sqoop Kafka Flume DevOps building deploying infrastructure cloud deployment technologies ansible chef puppet test-driven development automated testing frameworks Scrum Agile development methodologies infrastructure automation technologies Docker Vagrant build automation technologies Maven Jenkins monitoring technologies Nagios Ganglia programming languages Java Python building APIs API services REST SOAP scripting languages Perl Shell Analyze design develop tests test-automation suites Design develop processing platform management technologies Test software development methodology agile environment Provide ongoing maintenance support systems platforms Collaborate cross-functionally data scientists business users project managers Provide recommendations continuous improvement Java Ruby Rails .NET programming languages C++ JScript.NET software development life cycle SDLC system analysis tests deployment Develop flowcharts layouts documentation identify requirements solutions Write testable code Produce specifications determine operational feasibility Integrate software components software system Develop software verification plans quality assurance procedures Document maintain software functionality Troubleshoot debug  upgrade existing systems Deploy programs evaluate user feedback Comply project plans industry standards C++ programming languages relational databases SQL ORM technologies JPA2 Hibernate developing web applications web framework JSF Wicket GWT Spring MVC
55,Certified Secure Software Lifecycle Professional CSSLP,Certified Secure Software Lifecycle Professional CSSLP,core software security foundational design principles privacy governance risk compliance software methodologies develop software Cyber Defense Analysis coding vulnerabilities defensive coding code analysis protection environmental security Cyber Defense Infrastructure Security design principles Identify security privacy requirements Perform threat modelling security architecture Perform architectural risk assessment Model classify data Analyze code security vulnerabilities malicious code Debug security errors Develop security test cases testing strategy Establish security milestones governance risk compliance Software architects engineers developers Application security specialists program managers Quality assurance Penetration testers Software procurement analysts Project Security IT directors managers Release software securely Cyber Operations Risk Management software lifecycle security planning designing developing acquiring testing deploying maintaining
56,Certified Software Development Professional (CSDP),Certified Software Development Professional CSDP,Computer Science Software Engineering Software Requirements Design Construction Testing Maintenance Configuration Management Process Software Engineering Models Methods Software Quality Software Engineering Economics Software requirements design Software construction testing maintenance configuration engineering management process methods quality professional practice engineering economics
57,Information Systems Core ICCP,Information Systems Core ICCP,Database management Network communications IT security Project modeling Systems development systems development project management security database management
58,Software Engineering ICCP,Software Engineering ICCP , Information Systems Core Software Engineering Object-Oriented Analysis Design Software Requirements Software Design Software Construction Software Testing JavaScript Specialist Database Design Perl Specialist  C Programming C++ Oracle SQL MySQL Computer Computer-Based Systems Life Cycle Modeling Hardware Considerations Human Software Project Planning Project Planning Objectives Scope Resources Metrics Software Productivity Quality Project Estimation Decomposition Techniques Empirical Estimation Models Automated Project Scheduling Acquisition Organizational Planning Plan Requirements Analysis Principles Object-Oriented Software Prototyping Requirements Methodologies Data Flow-Oriented Methods Data Structure-Oriented Methods Data Structured Development Jackson System Development Automated Tools Requirements Analysis Design Process Fundamentals Modular Design Data Flow-Oriented Structure-Oriented Object-Oriented Real Time Design Model-Based Procedural Documentation Programming Languages Coding Translation Process Programming Language Classes Programming Aids Coding Style Efficiency Software Quality Assurance Quality Assurance Reviews Formal Technical Software Quality Metrics Reliability Quality Assurance Testing Techniques Software Testing White Box Path Testing Loop Testing Black Box Testing Proof Correctness Automated Testing Tools Strategic Approach Software Testing Unit Testing Integration Testing Validation Testing System Testing Debugging Software Maintenance Configuration Management Maintenance Characteristics Maintainability Maintenance Task Side Effects Software Configuration Management
59,Object Oriented Analysis and Design ICCP,Object-Oriented Analysis Design ICCP, Models Modeling Designing Model Assigning Object Designing Classes Building Applications Extending System Objects Classes Abstraction encapsulation Composition Inheritance Classification Polymorphism Overloading Object Models background Essential Elements Design Considerations object models Development Methodologies historical perspective OODLC Analysis Design Testing Maintenance Security disaster planning
60,Database Design Specialist CIW,Database Design Specialist CIW, DB2 Oracle Database MS SQL mySQL Structured Query Language SQL database optimization normalization IT managers directors Application developers Web development professionals Software programmers Enterprise developers
61,JavaScript Specialist CIW,JavaScript Specialist CIW,communicate users Document Object Model DOM control program flow validate forms animate images cookies HTML fly communicate databases Web developers Software developers Application programmers Full-stack developers Web Designers UI/UX Designers program flow control form validation event handling debugging scripts cookie creation JavaScript code development writing programs writing scripts JavaScript object model creating custom objects Web site implementation authoring scripting Web content creation Web APIs JavaScript libraries frameworks Relational database fundamentals Database planning Database design methodology logical physical database design Optimization normalization Structured Query Language SQL Relational algebra Transactions database security
62,C Programming Language Certified Associate (CLA),C Programming Language Certified Associate CLA,computer software engineer computer programming concepts integers variables data types flow control data types logic computer science aggregating data arrays differences arrays structures files streams pre-processor declarations
63,C++ Certified Professional Programmer (CPP),C++ Certified Professional Programmer CPP, STL Sequential containers Associative Non-modifying operations Modifying STL algorithms operations Sorting STL algorithms Merging STL  Utilities  input output 
64,C Certified Professional Programmer (CLP),C Certified Professional Programmer CLP,C keywords trigraphs digraphs Handling variable Memory strings Internationalization Processes threads Floats Network sockets absolute basics portability issues undefined behaviours const variables volatile variables 
65,C++ Certified Associate Programmer (CPA),C++ Certified Associate Programmer CPA,process installing programming environment common computer programming concepts integers variables advanced flow control data aggregates subject pointers functions memory examines access data object oriented programming inheritance subject exceptions operators enumerated 
66,Architectural Engineer,bachelor bachelors bachelor's architectural engineering civil technology architecture mechanical design interior science ,Study evaluate construction designs blueprints structural integrity safety building styles aesthetics building plans structures prototypes structural mechanical wind loads vibrations earthquakes Design analyze air conditioning systems heating ventilation optimizing energy conservation efficiency construction operations trends developments architectural engineering safe designs building codes material computer-aided design drafting CADD architectural documents building models preparing construction drawings Design heating plumbing lighting ventilation systems Analyze building plans blueprints Direct supervise building compliance standards specifications architects engineers project managers design cost estimates construction materials compliance government housing laws building codes Sketch design building plans drafting CAD programs electrical structural fire protection systems structural integrity seismic vibrations fire alarms lightening protection Archicad Revit Adobe Creative Suite
67,Audio Engineer,Apple Certified Pro Final Cut Pro X Certified Audio Engineer CEA,voice quality measurement HEAD Acoustics ACQUA HATS digital filters noise reduction echo suppression microphone beamforming AGC MBDRC developing audio systems Linux Android systems network simulators R&S CMU CMW ITU-T 3GPP ETSI voice communications Acoustic electrical Soundcheck Audio Precision acoustics loudspeakers microphones digital audio digital signal processing Define tune voice processing algorithms coordinate algorithm enhancements acoustic engineers loudspeaker microphone architecture devices far field voice quality speech recognition performance audio processing signal chain characteristics acoustic transducers audio codecs audio post-processing Audacity Adobe Audition audio test systems SoundCheck Head Acoustics ACQUA audio production live broadcast productions Video Technical Operations equipment workﬂow live broadcast audio production live broadcast audio operation maintenance broadcast audio systems live audio consoles Calrec intercom systems RTS audio routing Dante Protocol RF microphones IFBs IEMS stage monitors audio systems management mixing mix clean broadcast productions IFB RTS non live audio systems remote podcasts voiceovers live tape productions stadiums studios networks broadcast trucks microphone types audio DSPs performance characteristics Audio DSP programming system design use configure patch large-format digital audio mixing consoles SSL mixing consoles Dante MADI room sound live-transmission L’acoustics loudspeakers identifying signal routing monitoring quality assurance technical director camera operator editor
68,Apple Certified Pro Final Cut Pro X,Apple Certified Pro- Final Cut Pro X,Freelance Assistant Video Editor Video Producer Editor Producer industry photographers editors sound designers visual effects multimedia artists Certifications Aperture Final Cut Pro Logic Pro Motion engineering digital media video audio interactive services data systems deployed Cable Telecommunications Industry credential includes design analysis testing integration deployment considerations troubleshooting digital media systems end customer 
69,Certified Audio Engineer (CEA),Certified Audio Engineer CEA,Lead Engineer Staff Systems Head audio video engineering related technology produce recording live performance balancing adjusting sound sources equalization dynamics processing audio effects mixing reproduction reinforcement sound Audio engineers technical recording microphones Tape machines Analog-to-digital converters Digital-to-analog converters Digital audio workstations DAWs Audio plug-ins Dynamic range compressors Audio data compressors Music sequencers Signal processors Headphones Microphones Preamplifiers Mixing consoles Amplifiers Loudspeakers Category Audio engineers Acoustical Broadcast Sound Professional Lighting Sound Association Acoustical Broadcast Electrical Audio restoration Audiography sound recording Live sound mixing Professional audio Record producer Recording studio Sound designer follower operator recording Tape op
70,Industrial Engineer,Six Sigma Green Belt Six Sigma Black Belt Project Management Professional PMP Certified Manufacturing Engineer CMfgE Six Sigma Yellow Belt Certified Quality Engineer CQE Certified Six Sigma Greenbelt CSSGB Certified Product Manager CPM Certified Systems Engineering Professional CSEP,distribution logistics 3D simulation software FlexSim AutoCAD C coding languages Catia Solidworks Revit layout material flow material flow analysis Material Flow System Design Develop material flow models project material flow headcount assess congestion execute buffer quantities manufacturing engineering Develop innovative cost-effective solutions packing density sustainability automated Create 3D dynamic simulation models design bulk material handling systems AutoCad Material Handling Equipment conveyors sortation robotics data mining techniques SQL distribution conveyor systems 3D drawing capabilities demo 3D google SketchUp key performance indicators initiate process improvements operation statistics quality engineering tools building layouts conveyors shelving work stations Develop revise Standard Operating Procedures SOP development RFP ROI Analysis Procurement hardware software technology building development Labor Management System Review production schedules engineering specifications manufacturing methods procedures activities Estimate production costs cost saving methods product design Draft design layout equipment materials workspace maximum efficiency drafting tools computer quality control procedures develop production design standards utilization material
71,Six Sigma Green Belt,Six Sigma Green Belt,Competitive Business Processes Lean Organizations Lean Six Sigma DMAIC Improving Process Flow Manufacturing Supply Chain Product Development Health Care Histograms Pareto Charts Fishbone Diagrams Process Variation Standard Deviation Probability Distributions Sampling and Process Control Alpha and Beta Errors Appropriate Control Chart P-Charts LSL and USL Anticipating Problems and Risk Mitigation Hypothesis Testing and Confidence Interval Estimation Simple and Multiple Regression Aflac
